pipeline,train_accuracy,train_f1_class_1,train_recall_class_1,train_precision_class_1,test_accuracy,test_f1_class_1,test_recall_class_1,test_precision_class_1,test_f1_macro,test_balanced_accuracy
P20_GloVeTwitter_LogReg_Balanced,0.823,0.631,0.818,0.514,0.816,0.621,0.814,0.502,0.75,0.816
P17_W2V_LinearSVC,0.886,0.619,0.504,0.803,0.88,0.606,0.501,0.768,0.768,0.733
P18_GloVeTwitter_LogReg,0.879,0.611,0.514,0.752,0.873,0.604,0.525,0.71,0.764,0.738
P16_W2V_LogReg,0.885,0.623,0.514,0.788,0.875,0.593,0.492,0.747,0.76,0.727
P19_GloVeTwitter_LinearSVC,0.877,0.59,0.479,0.766,0.871,0.575,0.472,0.734,0.749,0.717
