pipeline,train_accuracy,train_f1_class_1,train_recall_class_1,train_precision_class_1,test_accuracy,test_f1_class_1,test_recall_class_1,test_precision_class_1,test_f1_macro,test_balanced_accuracy
P24_Voting,0.994,0.983,0.998,0.969,0.899,0.715,0.687,0.746,0.827,0.817
P25_Stacking,0.995,0.987,0.998,0.977,0.902,0.709,0.646,0.786,0.825,0.803
P23_LGBM,0.999,0.996,0.999,0.993,0.886,0.647,0.564,0.76,0.79,0.762
P22_XGB,0.999,0.997,0.999,0.995,0.886,0.631,0.525,0.79,0.782,0.747
P21_RF,0.999,0.997,0.999,0.995,0.868,0.464,0.308,0.934,0.694,0.652
