pipeline,best_params,best_cv_f1_class_1,train_accuracy,train_f1_class_1,train_recall_class_1,train_precision_class_1,test_accuracy,test_f1_class_1,test_recall_class_1,test_precision_class_1,test_f1_macro,test_balanced_accuracy
P08_TFIDF_Word_LogReg_Balanced,"{""clf__C"": 2.0}",0.686,0.964,0.909,0.98,0.847,0.879,0.705,0.781,0.643,0.815,0.841
P09_Hybrid_LogReg,"{""clf__C"": 4.0, ""clf__class_weight"": ""balanced""}",0.698,0.983,0.955,1.0,0.913,0.873,0.685,0.745,0.634,0.803,0.824
P10_Hybrid_LinearSVC,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced""}",0.698,0.979,0.945,0.999,0.898,0.872,0.684,0.749,0.63,0.802,0.825
P07_TFIDF_Char_LinearSVC,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",0.671,0.965,0.913,0.995,0.844,0.854,0.654,0.747,0.582,0.781,0.813
P06_TFIDF_Char_ComplementNB,"{""clf__alpha"": 0.1, ""clf__norm"": false}",0.637,0.89,0.741,0.856,0.653,0.845,0.649,0.776,0.557,0.774,0.818
