pipeline,train_accuracy,train_f1_class_1,train_recall_class_1,train_precision_class_1,test_accuracy,test_f1_class_1,test_recall_class_1,test_precision_class_1,test_f1_macro,test_balanced_accuracy
P08_TFIDF_Word_LogReg_Balanced,0.944,0.862,0.954,0.786,0.87,0.695,0.798,0.615,0.806,0.842
P10_Hybrid_LinearSVC,0.998,0.995,0.994,0.996,0.891,0.684,0.639,0.736,0.809,0.793
P07_TFIDF_Char_LinearSVC,0.972,0.919,0.873,0.971,0.882,0.655,0.61,0.709,0.792,0.776
P09_Hybrid_LogReg,0.933,0.784,0.659,0.967,0.889,0.621,0.494,0.837,0.778,0.736
P06_TFIDF_Char_ComplementNB,0.864,0.481,0.341,0.814,0.851,0.414,0.284,0.761,0.664,0.632
